Provider CCN,CCN Facility Type,CCN category,Number of Beds,Total Costs,Cost of Charity Care,Total Income,Net Income,Net Patient Revenue,Total Days Title XVIII,Total Discharges Title XVIII,Fiscal Year Begin Date,Fiscal Year End Date
441314,CAH,A,25.0,3464690.0,4045.0,-471549.0,-471549.0,3342823.0,363.0,35.0,10-01-2020,12/31/2020
341317,CAH,A,25.0,3317508.0,23850.0,-3798848.0,-4485126.0,-659945.0,139.0,13.0,10-01-2020,12/31/2020
520011,STH,C,40.0,31876483.0,66544.0,6434196.0,6112118.0,42423135.0,738.0,168.0,10-01-2020,12/31/2020
520037,STH,C,189.0,144931472.0,404607.0,-2200738.0,-2200738.0,157466675.0,4425.0,732.0,10-01-2020,12/31/2020
30147,STH,C,94.0,8959456.0,85093.0,-8009177.0,-8009177.0,5211927.0,232.0,76.0,11/17/2020,12/31/2020
340141,STH,C,684.0,330818093.0,6769412.0,-16687538.0,-16912668.0,390044245.0,22952.0,3919.0,10-01-2020,01/31/2021
150045,STH,C,57.0,12021596.0,302411.0,8474436.0,8474436.0,18120552.0,387.0,125.0,10-01-2020,12/31/2020
230118,STH,C,31.0,12134939.0,36794.0,837469.0,837469.0,13651448.0,409.0,118.0,10-01-2020,01/29/2021
50696,STH,C,301.0,299617905.0,912495.0,-26845280.0,-26845280.0,309507314.0,6259.0,900.0,10-01-2020,12/31/2020
190146,STH,C,250.0,64124863.0,353980.0,72710170.0,72710170.0,69131409.0,2709.0,651.0,10-01-2020,12/31/2020
520107,STH,C,58.0,53319422.0,70386.0,-1103385474.0,-1103385474.0,-1042999888.0,1034.0,267.0,01-01-2021,06/30/2021
340050,STH,C,258.0,185711266.0,11617220.0,34350465.0,34350465.0,198089205.0,12567.0,2248.0,10-01-2020,06/30/2021
271324,CAH,A,20.0,6144901.0,18299.0,1484832.0,1484832.0,5747505.0,185.0,5.0,01-01-2021,05/31/2021
50136,STH,C,80.0,36499859.0,1009109.0,-1720864.0,-1720639.0,39716740.0,1808.0,388.0,01-01-2021,06/30/2021
111333,CAH,A,25.0,20112900.0,131849.0,2239991.0,2239991.0,21154553.0,1039.0,148.0,10-01-2020,09/30/2021
490084,STH,C,67.0,24485853.0,3796606.0,-1486965.0,-1486965.0,27715335.0,1423.0,343.0,01-01-2021,06/30/2021
50124,STH,C,116.0,89893375.0,762188.0,-3538461.0,-3538461.0,75723363.0,4364.0,985.0,01-01-2021,06/30/2021
141337,CAH,A,25.0,8261532.0,51457.0,942031.0,942031.0,5599508.0,112.0,39.0,05-01-2021,06/30/2021
320065,STH,C,61.0,23345435.0,994301.0,23219646.0,23219646.0,22395133.0,664.0,177.0,01-01-2021,06/30/2021
